"88" "фармхімії ФПДО" "вага торзійна" "ВТ-500" "1553" "1992" "1992" "10" "28" "задов." "-"
"89" "фармхімії ФПДО" "поляриметр" "П-161" "831022" "1992" "1992" "10" "28" "задов." "-"
"90" "фармхімії ФПДО" "поляриметр" "П-161" "813037" "1992" "1992" "10" "28" "незадов." "-"
"91" "фармхімії ФПДО" "Біолам Р- 11У" "831766" "831766" "1992" "1992" "10" "28" "задов." "-"
"92" "фармхімії ФПДО" "мікроскоп" "Р-12" "832081" "1992" "1992" "10" "28" "задов." "-"
"93" "фармхімії ФПДО" "мікроскоп" "Р-12" "831964" "1992" "1992" "10" "28" "задов." "-"
"94" "фармхімії ФПДО" "телевізор" "Електрон" "09100096" "1992" "1992" "10" "28" "задов." "-"
"95" "фармхімії ФПДО" "телевізор" "Електрон" "081545055" "1992" "1992" "10" "28" "незадов." "-"
"96" "фармхімії ФПДО" "холодильник" "Кристал" "275071" "1992" "1992" "10" "28" "незадов." "-"
"97" "фармхімії ФПДО" "друк. машинка" "Ятрань" "ПК-305-01" "1985" "1985" "10" "35" "незадов." "-"
"98" "фармхімії ФПДО" "холодильник" "ДХ" "0556275071" "2003" "2003" "10" "17" "задов." "-"
"99" "пропедевтики внутрішніх хворіб" "діапроектор" "Світязь" "928808" "1979" "1979" "10" "41" "задов." "-"
"100" "пропедевтики внутрішніх хворіб" "діапроектор" "" "7714948" "1977" "1978" "10" "42" "задов." "-"
"100" "пропедевтики внутрішніх хворіб" "діапроектор" "" "7714948" "1977" "1978" "10" "42" "задов." "-"
"101" "пропедевтики внутрішніх хворіб" "діапроектор" "Етюд" "851603" "1968" "1979" "10" "41" "задов." "-"
"102" "пропедевтики внутрішніх хворіб" "мікроскоп" "Ерудит" "820036" "1982" "1982" "10" "38" "задов." "-"
"103" "пропедевтики внутрішніх хворіб" "мікроскоп" "" "820247" "1982" "1982" "10" "38" "задов." "-"
"104" "пропедевтики внутрішніх хворіб" "мікроскоп" "" "821424" "1982" "1982" "10" "38" "задов." "-"
"105" "пропедевтики внутрішніх хворіб" "мікроскоп" "" "821455" "1982" "1982" "10" "38" "задов." "-"
"106" "пропедевтики внутрішніх хворіб" "мікроскоп" "" "821467" "1982" "1982" "10" "38" "задов." "-"
"107" "пропедевтики дитячих хворіб" "ел. кардіограф" "ЕК-1Т-);" "825663" "1985" "1985" "10" "35" "незадов." "-"
"108" "пропедевтики дитячих хворіб" "мікроскоп" "Біолам ЛОМО" "1352582" "1971" "1972" "10" "48" "задов." "-"
"109" "пропедевтики дитячих хворіб" "мікроскоп" "МБР-1" "6010260" "1971" "1972" "10" "48" "задов." "-"
"110" "пропедевтики дитячих хворіб" "електрофон" "Лізер" "82704" "1977" "1977" "10" "43" "задов." "-"
"111" "пропедевтики дитячих хворіб" "тонометр" "мембранний" "6535" "2000" "2000" "10" "20" "задов." "-"
"112" "пропедевтики дитячих хворіб" "тонометр" "" "24665" "2000" "2000" "10" "20" "задов." "-"
"112" "пропедевтики дитячих хворіб" "тонометр" "" "24665" "2000" "2000" "10" "20" "задов." "-"
"113" "пропедевтики дитячих хворіб" "тонометр" "" "24666" "2000" "2000" "10" "20" "задов." "-"
"114" "пропедевтики дитячих хворіб" "секундомір" "АГАТ" "2079" "2000" "2000" "10" "20" "задов." "-"
"115" "пропедевтики дитячих хворіб" "секундомір" "" "2482" "2000" "2000" "10" "20" "задов." "-"
"116" "пропедевтики дитячих хворіб" "графопроектор" "" "99121642" "2000" "2000" "10" "20" "задов." "-"
"117" "пропедевтики дитячих хворіб" "холодильник" "Донбас" "482561" "1975" "1976" "10" "44" "задов." "-"
"118" "пропедевтики дитячих хворіб" "холодильник" "НОРД-214" "224835" "2001" "2001" "10" "19" "задов." "-"
"119" "пропедевтики дитячих хворіб" "др. машинка" "Ліствіца" "189018" "1987" "1987" "10" "33" "незадов." "-"
"120" "хірургічна стоматологія" "стомат. установка" "Сірона" "8505" "1555" "1556" "10" "464" "задов." "-"
"121" "хірургічна стоматологія" "стомат. установка" "Сірона" "025171" "2003" "2004" "10" "16" "задов." "-"
"122" "хірургічна стоматологія" "компресор" "" "106971222" "2003" "2003" "10" "17" "задов." "-"
"123" "хірургічна стоматологія" "компресор" "" "90737" "2003" "2004" "10" "16" "задов." "-"
"124" "анестезіології ФПДО" "електрокардіограф" "ЕКГ-Н" "С 008068" "1978" "1978" "10" "42" "задов." "-"
"124" "анестезіології ФПДО" "електрокардіограф" "ЕКГ-Н" "С 008068" "1978" "1978" "10" "42" "задов." "-"
"125" "анестезіології ФПДО" "електрокардіограф" "Салют" "С 007241" "1975" "1975" "10" "45" "задов." "-"
"126" "анестезіології ФПДО" "апарат для шт. дих." "" "60126" "1982" "1982" "10" "38" "незадов." "-"
"127" "анестезіології ФПДО" "стимулятор" "Амбу" "б,н" "1984" "1984" "10" "36" "задов." "-"
"128" "анестезіології ФПДО" "набір" "Вентметр" "7789" "1984" "1984" "10" "36" "задов." "-"
"129" "анестезіології ФПДО" "набір" "Блатметр" "7036" "1984" "1984" "10" "36" "задов." "-"
"130" "анестезіології ФПДО" "апарат" "ЕДО-3м" "041" "1991" "1991" "10" "29" "задов." "-"
"131" "анестезіології ФПДО" "дозатор" "ДЛП-1" "2300" "1991" "1992" "10" "28" "задов." "-"
"132" "анестезіології ФПДО" "дозатор" "НДЛ-2" "2152" "1992" "1992" "10" "28" "задов." "-"
"133" "анестезіології ФПДО" "фотоапарат" "Київ-88" "831622" "1983" "1988" "10" "32" "задов." "-"
"134" "анестезіології ФПДО" "фотоапарат" "Київ-17" "801633" "1980" "1983" "10" "37" "задов." "-"
"135" "анестезіології ФПДО" "др.машинка" "Оптіма" "696463" "1979" "1979" "10" "41" "задов." "-"
"136" "анестезіології ФПДО" "діапроектор" "Світязь" "587861" "1975" "1975" "10" "45" "задов." "-"
"136" "анестезіології ФПДО" "діапроектор" "Світязь" "587861" "1975" "1975" "10" "45" "задов." "-"
"137" "анестезіології ФПДО" "кадропроектор" "Світязь" "587858" "1975" "1975" "10" "45" "задов." "-"
"138" "анестезіології ФПДО" "кадропроектор" "Світязь" "б,н" "1975" "1975" "10" "45" "задов." "-"
"139" "анестезіології ФПДО" "графопроектор" "" "99121609" "2001" "2001" "10" "19" "задов." "-"
"140" "інфекційних хворіб" "дозатор піп." "" "" "1998" "1998" "10" "22" "задов." "-"
"141" "інфекційних хворіб" "джерело живлення д,е" "ЕС-105СН" "ВС100143-2-240" "1998" "1998" "10" "22" "задов." "-"
"142" "інфекційних хворіб" "камера для гор. ел." "" "" "1998" "1998" "10" "22" "задов." "-"
"143" "інфекційних хворіб" "центрифуга" "СМ-50" "82073" "1991" "1991" "10" "29" "задов." "-"
"144" "інфекційних хворіб" "транс.ілюмінатор в к" "Зеніт" "93350957" "0" "0" "10" "2020" "задов." "-"
"145" "інфекційних хворіб" "РН-метр з комбін.еле" "РН-201" "4671223" "1999" "1999" "10" "21" "задов." "-"
"146" "інфекційних хворіб" "автом. піпетки" "" "" "1998" "1998" "10" "22" "задов." "-"
"147" "інфекційних хворіб" "автом. піпетки" "ДНА-М" "817272" "1998" "1998" "10" "22" "задов." "-"
"148" "інфекційних хворіб" "автом. піпетки" "ДНА-М" "818118" "1998" "1998" "10" "22" "задов." "-"
"148" "інфекційних хворіб" "автом. піпетки" "ДНА-М" "818118" "1998" "1998" "10" "22" "задов." "-"
"149" "інфекційних хворіб" "автом. піпетки" "" "" "1998" "1998" "10" "22" "задов." "-"
"150" "інфекційних хворіб" "автом. піпетки" "" "" "1998" "1998" "10" "22" "задов." "-"
